givenName,slug,category,url,source,id,licenseName,licenseURL,Created at: 29-06-2024 13:48:01:141
Chat Heads,chat-heads,Qol,https://modrinth.com/mod/chat-heads,https://github.com/dzwdz/chat_heads,MPL-2.0,Mozilla Public License 2.0,
More Chat History,morechathistory,Qol,https://modrinth.com/mod/morechathistory,https://github.com/JackFred2/MoreChatHistory,CC0-1.0,Creative Commons Zero v1.0 Universal,
Enchantment Descriptions,enchantment-descriptions,Qol,https://modrinth.com/mod/enchantment-descriptions,https://github.com/Darkhax-Minecraft/Enchantment-Descriptions,LGPL-2.1-only,GNU Lesser General Public License v2.1 only,
Advancement Info,advancementinfo,Qol,https://modrinth.com/mod/advancementinfo,https://github.com/gbl/AdvancementInfo,MIT,MIT License,
Better Mount HUD,better-mount-hud,Qol,https://modrinth.com/mod/better-mount-hud,https://github.com/Lortseam/better-mount-hud,GPL-3.0-only,GNU General Public License v3.0 only,
Freecam,freecam,Qol,https://modrinth.com/mod/freecam,https://github.com/hashalite/Freecam,MIT,MIT License,
ClearDespawn,cleardespawn,Qol,https://modrinth.com/mod/cleardespawn,https://github.com/StrikerRockers-Mods/ClearDespawn/,MIT,MIT License,
Show Me Your Skin!,show-me-your-skin,Qol,https://modrinth.com/mod/show-me-your-skin,https://github.com/enjarai/show-me-your-skin,MIT,MIT License,
Tool Stats,tool-stats,Qol,https://modrinth.com/mod/tool-stats,https://github.com/Darkhax-Minecraft/Tool-Stats,LGPL-2.1-only,GNU Lesser General Public License v2.1 only,
Not Enough Crashes,notenoughcrashes,Qol,https://modrinth.com/mod/notenoughcrashes,https://github.com/natanfudge/Not-Enough-Crashes,MIT,MIT License,
Keep Head Names,keepheadnames,Qol,https://modrinth.com/datapack/keepheadnames,https://github.com/Fourmisain/KeepHeadNames,MIT,MIT License,
Carry On,carry-on,Storage,https://modrinth.com/mod/carry-on,https://github.com/Tschipp/CarryOn,LGPL-3.0-only,GNU Lesser General Public License v3.0 only,
Iron Chest,cyberanner-ironchest,Storage,https://modrinth.com/mod/cyberanner-ironchest,https://github.com/4nner/IronChests,LGPL-3.0-only,GNU Lesser General Public License v3.0 only,
Extended Storage Drawers,extended-drawers,Storage,https://modrinth.com/mod/extended-drawers,https://github.com/MattiDragon/ExtendedDrawers,Apache-2.0,Apache License 2.0,
Toms simple storage,toms-storage,Storage,https://modrinth.com/mod/toms-storage,https://github.com/tom5454/Toms-Storage,MIT,MIT License,
Inmis (Backpack),inmis,Storage,https://modrinth.com/mod/inmis,https://github.com/Draylar/inmis,MIT,MIT License,
